,pmid,author,year,title,journal,citedByNof1000
295,18509028,Bertran-Gonzalez,2008,Opposing patterns of signaling activation in dopamine D1 and D2 receptor-expressing striatal neurons in response to cocaine and haloperidol.,The Journal of neuroscience : the official journal of the Society for Neuroscience,20.0
229,22785313,Lim,2012,Anhedonia requires MC4R-mediated synaptic adaptations in nucleus accumbens.,Nature,19.0
713,23319622,Grueter,2013,∆FosB differentially modulates nucleus accumbens direct and indirect pathway function.,Proceedings of the National Academy of Sciences of the United States of America,19.0
927,16354936,Peciña,2006,Hedonic hot spot in nucleus accumbens shell: where do mu-opioids cause increased hedonic impact of sweetness?,The Journal of neuroscience : the official journal of the Society for Neuroscience,19.0
706,26831103,Calipari,2016,In vivo imaging identifies temporal signature of D1 and D2 medium spiny neurons in cocaine reward.,Proceedings of the National Academy of Sciences of the United States of America,18.0
358,20554874,Stuber,2010,Dopaminergic terminals in the nucleus accumbens but not the dorsal striatum corelease glutamate.,The Journal of neuroscience : the official journal of the Society for Neuroscience,18.0
532,9054347,Schultz,1997,A neural substrate of prediction and reward.,"Science (New York, N.Y.)",18.0
350,22158102,Pascoli,2012,Reversal of cocaine-evoked synaptic potentiation resets drug-induced adaptive behaviour.,Nature,18.0
42,27871668,Francis,2017,Emerging Role for Nucleus Accumbens Medium Spiny Neuron Subtypes in Depression.,Biological psychiatry,18.0
1951,17072591,Berridge,2007,The debate over dopamine's role in reward: the case for incentive salience.,Psychopharmacology,18.0
723,18760700,Ambroggi,2008,Basolateral amygdala neurons facilitate reward-seeking behavior by exciting nucleus accumbens neurons.,Neuron,18.0
249,20473292,Vialou,2010,DeltaFosB in brain reward circuits mediates resilience to stress and antidepressant responses.,Nature neuroscience,17.0
178,21076424,Grueter,2011,Postsynaptic TRPV1 triggers cell type-specific long-term depression in the nucleus accumbens.,Nature neuroscience,17.0
103,7938546,Pennartz,1994,"The nucleus accumbens as a complex of functionally distinct neuronal ensembles: an integration of behavioural, electrophysiological and anatomical data.",Progress in neurobiology,17.0
840,24259563,Lobo,2014,"ΔFosB induction in striatal medium spiny neuron subtypes in response to chronic pharmacological, emotional, and optogenetic stimuli.",The Journal of neuroscience : the official journal of the Society for Neuroscience,17.0
117,15034590,Ito,2004,Differential control over cocaine-seeking behavior by nucleus accumbens core and shell.,Nature neuroscience,17.0
1363,12716962,McFarland,2003,Prefrontal glutamate release into the core of the nucleus accumbens mediates cocaine-induced reinstatement of drug-seeking behavior.,The Journal of neuroscience : the official journal of the Society for Neuroscience,17.0
138,22780554,Saunders,2012,The role of dopamine in the accumbens core in the expression of Pavlovian-conditioned responses.,The European journal of neuroscience,17.0
985,26585289,Terrier,2018,"Cell-Type Specific Insertion of GluA2-Lacking AMPARs with Cocaine Exposure Leading to Sensitization, Cue-Induced Seeking, and Incubation of Craving.",Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,17.0
377,15464140,Di Chiara,2004,Dopamine and drug addiction: the nucleus accumbens shell connection.,Neuropharmacology,17.0
855,16207873,Boudreau,2005,Behavioral sensitization to cocaine is associated with increased AMPA receptor surface expression in the nucleus accumbens.,The Journal of neuroscience : the official journal of the Society for Neuroscience,17.0
48,16566899,Nestler,2006,The mesolimbic dopamine reward circuit in depression.,Biological psychiatry,17.0
728,2147780,Gerfen,1991,D1 and D2 dopamine receptor-regulated gene expression of striatonigral and striatopallidal neurons.,"Science (New York, N.Y.)",16.0
317,26335648,Al-Hasani,2015,Distinct Subpopulations of Nucleus Accumbens Dynorphin Neurons Drive Aversion and Reward.,Neuron,16.0
334,24647944,Castro,2014,"Opioid hedonic hotspot in nucleus accumbens shell: mu, delta, and kappa maps for enhancement of sweetness ""liking"" and ""wanting"".",The Journal of neuroscience : the official journal of the Society for Neuroscience,16.0
22,19812543,Haber,2010,The reward circuit: linking primate anatomy and human imaging.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,16.0
1531,11606653,McFarland,2001,The circuitry mediating cocaine-induced reinstatement of drug-seeking behavior.,The Journal of neuroscience : the official journal of the Society for Neuroscience,16.0
1709,20655604,Wolf,2010,The Bermuda Triangle of cocaine-induced neuroadaptations.,Trends in neurosciences,16.0
725,16492766,Lee,2006,Cocaine-induced dendritic spine formation in D1 and D2 dopamine receptor-containing medium spiny neurons in nucleus accumbens.,Proceedings of the National Academy of Sciences of the United States of America,16.0
514,17603481,Day,2007,Associative learning mediates dynamic shifts in dopamine signaling in the nucleus accumbens.,Nature neuroscience,16.0
593,26276628,Volkow,2016,The Brain on Drugs: From Reward to Addiction.,Cell,16.0
141,21150898,Flagel,2011,A selective role for dopamine in stimulus-reward learning.,Nature,16.0
1337,21490215,McCutcheon,2011,Calcium-permeable AMPA receptors are present in nucleus accumbens synapses after prolonged withdrawal from cocaine self-administration but not experimenter-administered cocaine.,The Journal of neuroscience : the official journal of the Society for Neuroscience,16.0
745,15271494,Voorn,2004,Putting a spin on the dorsal-ventral divide of the striatum.,Trends in neurosciences,16.0
558,18786735,Goto,2009,Limbic and cortical information processing in the nucleus accumbens.,Trends in neurosciences,15.0
105,7472436,Maldonado-Irizarry,1995,Glutamate receptors in the nucleus accumbens shell control feeding behavior via the lateral hypothalamus.,The Journal of neuroscience : the official journal of the Society for Neuroscience,15.0
96,12177226,Reynolds,2002,"Positive and negative motivation in nucleus accumbens shell: bivalent rostrocaudal gradients for GABA-elicited eating, taste ""liking""/""disliking"" reactions, place preference/avoidance, and fear.",The Journal of neuroscience : the official journal of the Society for Neuroscience,15.0
1372,10499584,Kelz,1999,Expression of the transcription factor deltaFosB in the brain controls sensitivity to cocaine.,Nature,15.0
710,24072923,Bocklisch,2013,Cocaine disinhibits dopamine neurons by potentiation of GABA transmission in the ventral tegmental area.,"Science (New York, N.Y.)",15.0
2434,21209217,Christoffel,2011,IκB kinase regulates social defeat stress-induced synaptic and behavioral plasticity.,The Journal of neuroscience : the official journal of the Society for Neuroscience,15.0
1773,22754497,Wolf,2012,"Calcium-permeable AMPA receptors in the VTA and nucleus accumbens after cocaine exposure: when, how, and why?",Frontiers in molecular neuroscience,15.0
83,19941931,Humphries,2010,"The ventral basal ganglia, a selection mechanism at the crossroads of space, strategy, and reward.",Progress in neurobiology,15.0
524,12687000,Phillips,2003,Subsecond dopamine release promotes cocaine seeking.,Nature,15.0
1252,15464124,Robinson,2004,Structural plasticity associated with exposure to drugs of abuse.,Neuropharmacology,15.0
3259,24758366,Feng,2015,Chronic cocaine-regulated epigenomic changes in mouse nucleus accumbens.,Genome biology,14.0
850,19295158,Russo,2009,Nuclear factor kappa B signaling regulates neuronal morphology and cocaine reward.,The Journal of neuroscience : the official journal of the Society for Neuroscience,14.0
719,21377654,Kim,2011,Cell type-specific alterations in the nucleus accumbens by repeated exposures to cocaine.,Biological psychiatry,14.0
2198,11449260,Grimm,2001,Neuroadaptation. Incubation of cocaine craving after withdrawal.,Nature,14.0
1685,9858756,Berridge,1999,"What is the role of dopamine in reward: hedonic impact, reward learning, or incentive salience?",Brain research. Brain research reviews,14.0
1325,23467346,Robison,2013,Behavioral and structural responses to chronic cocaine require a feedforward loop involving ΔFosB and calcium/calmodulin-dependent protein kinase II in the nucleus accumbens shell.,The Journal of neuroscience : the official journal of the Society for Neuroscience,14.0
101,9151760,Stratford,1997,GABA in the nucleus accumbens shell participates in the central regulation of feeding behavior.,The Journal of neuroscience : the official journal of the Society for Neuroscience,14.0
100,9483534,Lu,1998,"Expression of D1 receptor, D2 receptor, substance P and enkephalin messenger RNAs in the neurons projecting from the nucleus accumbens.",Neuroscience,14.0
984,26739562,Hearing,2016,Reversal of morphine-induced cell-type-specific synaptic plasticity in the nucleus accumbens shell blocks reinstatement.,Proceedings of the National Academy of Sciences of the United States of America,14.0
97,11312311,Reynolds,2001,Fear and feeding in the nucleus accumbens shell: rostrocaudal segregation of GABA-elicited defensive behavior versus eating behavior.,The Journal of neuroscience : the official journal of the Society for Neuroscience,14.0
1687,9276840,Heimer,1997,The accumbens: beyond the core-shell dichotomy.,The Journal of neuropsychiatry and clinical neurosciences,14.0
2349,8618890,Pontieri,1996,"Intravenous cocaine, morphine, and amphetamine preferentially increase extracellular dopamine in the ""shell"" as compared with the ""core"" of the rat nucleus accumbens.",Proceedings of the National Academy of Sciences of the United States of America,14.0
511,18753384,Aragona,2008,Preferential enhancement of dopamine transmission within the nucleus accumbens shell by cocaine is attributable to a direct increase in phasic dopamine release events.,The Journal of neuroscience : the official journal of the Society for Neuroscience,14.0
1346,19607791,Huang,2009,In vivo cocaine experience generates silent synapses.,Neuron,14.0
1366,12060781,Robbe,2002,Endogenous cannabinoids mediate long-term synaptic depression in the nucleus accumbens.,Proceedings of the National Academy of Sciences of the United States of America,14.0
89,18256852,Meredith,2008,The structural basis for mapping behavior onto the ventral striatum and its subdivisions.,Brain structure & function,14.0
522,14960596,Roitman,2004,Dopamine operates as a subsecond modulator of food seeking.,The Journal of neuroscience : the official journal of the Society for Neuroscience,14.0
851,19136971,Moussawi,2009,N-Acetylcysteine reverses cocaine-induced metaplasticity.,Nature neuroscience,14.0
1159,21849539,Corbit,2011,The general and outcome-specific forms of Pavlovian-instrumental transfer are differentially mediated by the nucleus accumbens core and shell.,The Journal of neuroscience : the official journal of the Society for Neuroscience,13.0
135,23764290,McGinty,2013,Invigoration of reward seeking by cue and proximity encoding in the nucleus accumbens.,Neuron,13.0
137,23141060,Salamone,2013,The mysterious motivational functions of mesolimbic dopamine.,Neuron,13.0
1207,16983543,Nicola,2007,The nucleus accumbens as part of a basal ganglia action selection circuit.,Psychopharmacology,13.0
1610,26674863,Hodes,2016,Sex Differences in Nucleus Accumbens Transcriptome Profiles Associated with Susceptibility versus Resilience to Subchronic Variable Stress.,The Journal of neuroscience : the official journal of the Society for Neuroscience,13.0
860,8778304,Pierce,1996,Repeated cocaine augments excitatory amino acid transmission in the nucleus accumbens only in rats having developed behavioral sensitization.,The Journal of neuroscience : the official journal of the Society for Neuroscience,13.0
566,11312310,Corbit,2001,The role of the nucleus accumbens in instrumental conditioning: Evidence of a functional dissociation between accumbens core and shell.,The Journal of neuroscience : the official journal of the Society for Neuroscience,13.0
565,11375482,Cardinal,2001,Impulsive choice induced in rats by lesions of the nucleus accumbens core.,"Science (New York, N.Y.)",13.0
992,23727437,Loweth,2014,Adaptations in AMPA receptor transmission in the nucleus accumbens contributing to incubation of cocaine craving.,Neuropharmacology,13.0
1740,22956831,Trantham-Davidson,2012,"Ceftriaxone normalizes nucleus accumbens synaptic transmission, glutamate transport, and export following cocaine self-administration and extinction training.",The Journal of neuroscience : the official journal of the Society for Neuroscience,13.0
1429,20729844,LaPlant,2010,Dnmt3a regulates emotional behavior and spine plasticity in the nucleus accumbens.,Nature neuroscience,13.0
534,6816390,Swanson,1983,The projections of the ventral tegmental area and adjacent regions: a combined fluorescent retrograde tracer and immunofluorescence study in the rat.,Brain research bulletin,13.0
1792,19597494,Mameli,2009,Cocaine-evoked synaptic plasticity: persistence in the VTA triggers adaptations in the NAc.,Nature neuroscience,13.0
1455,21147998,Nicola,2011,The flexible approach hypothesis: unification of effort and cue-responding hypotheses for the role of nucleus accumbens dopamine in the activation of reward-seeking behavior.,The Journal of neuroscience : the official journal of the Society for Neuroscience,13.0
128,25339748,du Hoffmann,2015,Dopamine invigorates reward seeking by promoting cue-evoked excitation in the nucleus accumbens.,The Journal of neuroscience : the official journal of the Society for Neuroscience,13.0
3241,23495790,Peciña,2013,Dopamine or opioid stimulation of nucleus accumbens similarly amplify cue-triggered 'wanting' for reward: entire core and medial shell mapped as substrates for PIT enhancement.,The European journal of neuroscience,13.0
69,26593092,O'Connor,2016,Accumbal D1R Neurons Projecting to Lateral Hypothalamus Authorize Feeding.,Neuron,13.0
1273,20109488,Wolf,2011,AMPA receptor plasticity in the nucleus accumbens after repeated exposure to cocaine.,Neuroscience and biobehavioral reviews,13.0
1884,23416703,Golden,2013,Epigenetic regulation of RAC1 induces synaptic remodeling in stress disorders and depression.,Nature medicine,13.0
1335,21994370,McCutcheon,2011,Group I mGluR activation reverses cocaine-induced accumulation of calcium-permeable AMPA receptors in nucleus accumbens synapses via a protein kinase C-dependent mechanism.,The Journal of neuroscience : the official journal of the Society for Neuroscience,13.0
644,27475769,Koob,2017,Neurobiology of addiction: a neurocircuitry analysis.,The lancet. Psychiatry,13.0
120,10215912,Robinson,1999,Alterations in the morphology of dendrites and dendritic spines in the nucleus accumbens and prefrontal cortex following repeated treatment with amphetamine or cocaine.,The European journal of neuroscience,13.0
1005,3683859,Groenewegen,1988,Organization of the projections from the subiculum to the ventral striatum in the rat. A study using anterograde transport of Phaseolus vulgaris leucoagglutinin.,Neuroscience,12.0
946,10704511,Haber,2000,Striatonigrostriatal pathways in primates form an ascending spiral from the shell to the dorsolateral striatum.,The Journal of neuroscience : the official journal of the Society for Neuroscience,12.0
2899,16307603,Pothuizen,2006,Double dissociation of the effects of selective nucleus accumbens core and shell lesions on impulsive-choice behaviour and salience learning in rats.,The European journal of neuroscience,12.0
110,27239940,Graziane,2017,Opposing mechanisms mediate morphine- and cocaine-induced generation of silent synapses.,Nature neuroscience,12.0
531,9658025,Schultz,1998,Predictive reward signal of dopamine neurons.,Journal of neurophysiology,12.0
291,21510962,Wissman,2012,Sex differences and effects of cocaine on excitatory synapses in the nucleus accumbens.,Neuropharmacology,12.0
1488,10415646,Zahm,1999,Functional-anatomical implications of the nucleus accumbens core and shell subterritories.,Annals of the New York Academy of Sciences,12.0
2143,18003845,Bossert,2007,Differential effects of blockade of dopamine D1-family receptors in nucleus accumbens core or shell on reinstatement of heroin seeking induced by contextual and discrete cues.,The Journal of neuroscience : the official journal of the Society for Neuroscience,12.0
999,20576893,Kasanetz,2010,Transition to addiction is associated with a persistent impairment in synaptic plasticity.,"Science (New York, N.Y.)",12.0
1244,21632938,Brown,2011,A silent synapse-based mechanism for cocaine-induced locomotor sensitization.,The Journal of neuroscience : the official journal of the Society for Neuroscience,12.0
996,20947635,Jeanes,2011,In vivo chronic intermittent ethanol exposure reverses the polarity of synaptic plasticity in the nucleus accumbens shell.,The Journal of pharmacology and experimental therapeutics,12.0
156,21131952,Ferguson,2011,Transient neuronal inhibition reveals opposing roles of indirect and direct pathways in sensitization.,Nature neuroscience,12.0
3194,21264647,Stopper,2011,Contributions of the nucleus accumbens and its subregions to different aspects of risk-based decision making.,"Cognitive, affective & behavioral neuroscience",12.0
800,1665095,Kalivas,1992,Dopamine transmission in the initiation and expression of drug- and stress-induced sensitization of motor activity.,Brain research. Brain research reviews,12.0
933,15689556,Taha,2005,Encoding of palatability and appetitive behaviors by distinct neuronal populations in the nucleus accumbens.,The Journal of neuroscience : the official journal of the Society for Neuroscience,12.0
945,10773195,Peciña,2000,Opioid site in nucleus accumbens shell mediates eating and hedonic 'liking' for food: map based on microinjection Fos plumes.,Brain research,12.0
2100,21303898,Beaulieu,2011,"The physiology, signaling, and pharmacology of dopamine receptors.",Pharmacological reviews,12.0
1264,26030846,Christoffel,2015,Excitatory transmission at thalamo-striatal synapses mediates susceptibility to social stress.,Nature neuroscience,12.0
1676,16289609,Kelley,2006,"Corticostriatal-hypothalamic circuitry and food motivation: integration of energy, action and reward.",Physiology & behavior,12.0
581,23473317,Gipson,2013,"Relapse induced by cues predicting cocaine depends on rapid, transient synaptic potentiation.",Neuron,12.0
707,25108911,MacAskill,2014,Cocaine exposure reorganizes cell type- and input-specific connectivity in the nucleus accumbens.,Nature neuroscience,12.0
2310,10611493,Ikemoto,2000,The role of nucleus accumbens dopamine in motivated behavior: a unifying interpretation with special reference to reward-seeking.,Brain research. Brain research reviews,12.0
2114,19924113,Chaudhri,2010,Separable roles of the nucleus accumbens core and shell in context- and cue-induced alcohol-seeking.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,12.0
1812,16491081,Lobo,2006,FACS-array profiling of striatal projection neuron subtypes in juvenile and adult mouse brains.,Nature neuroscience,12.0
1222,19447090,Renthal,2009,Genome-wide analysis of chromatin regulation by cocaine reveals a role for sirtuins.,Neuron,12.0
183,18945889,Gertler,2008,Dichotomous anatomical properties of adult striatal medium spiny neurons.,The Journal of neuroscience : the official journal of the Society for Neuroscience,12.0
1487,11050134,Wyvell,2001,"Intra-accumbens amphetamine increases the conditioned incentive salience of sucrose reward: enhancement of reward ""wanting"" without enhanced ""liking"" or response reinforcement.",The Journal of neuroscience : the official journal of the Society for Neuroscience,12.0
1465,14645378,Nicola,2004,Firing of nucleus accumbens neurons during the consummatory phase of a discriminative stimulus task depends on previous reward predictive cues.,Journal of neurophysiology,11.0
1355,17898233,Boudreau,2007,Cell surface AMPA receptors in the rat nucleus accumbens increase during cocaine withdrawal but internalize after cocaine challenge in association with altered activation of mitogen-activated protein kinases.,The Journal of neuroscience : the official journal of the Society for Neuroscience,11.0
2228,8794935,Richardson,1996,Progressive ratio schedules in drug self-administration studies in rats: a method to evaluate reinforcing efficacy.,Journal of neuroscience methods,11.0
192,8638293,Kawaguchi,1996,"Striatal interneurones: chemical, physiological and morphological characterization.",Trends in neurosciences,11.0
739,19914605,Bewernick,2010,Nucleus accumbens deep brain stimulation decreases ratings of depression and anxiety in treatment-resistant depression.,Biological psychiatry,11.0
1466,14645377,Nicola,2004,Cue-evoked firing of nucleus accumbens neurons encodes motivational significance during a discriminative stimulus task.,Journal of neurophysiology,11.0
1168,12765613,Setlow,2003,Neural encoding in ventral striatum during olfactory discrimination learning.,Neuron,11.0
1771,23232118,Pierce,2013,Psychostimulant-induced neuroadaptations in nucleus accumbens AMPA receptor transmission.,Cold Spring Harbor perspectives in medicine,11.0
1770,23546386,Purgianto,2014,Different adaptations in AMPA receptor transmission in the nucleus accumbens after short vs long access cocaine self-administration regimens.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,11.0
2103,20534846,Knackstedt,2010,Extinction training after cocaine self-administration induces glutamatergic plasticity to inhibit cocaine seeking.,The Journal of neuroscience : the official journal of the Society for Neuroscience,11.0
1173,10066290,Parkinson,1999,Dissociation in effects of lesions of the nucleus accumbens core and shell on appetitive pavlovian approach behavior and the potentiation of conditioned reinforcement and locomotor activity by D-amphetamine.,The Journal of neuroscience : the official journal of the Society for Neuroscience,11.0
3612,20484653,Tecuapetla,2010,Glutamatergic signaling by mesolimbic dopamine neurons in the nucleus accumbens.,The Journal of neuroscience : the official journal of the Society for Neuroscience,11.0
906,21164015,Witten,2011,Cholinergic interneurons control local circuit activity and cocaine conditioning.,"Science (New York, N.Y.)",11.0
900,22273000,Ma,2012,Regional and cell-type-specific effects of DAMGO on striatal D1 and D2 dopamine receptor-expressing medium-sized spiny neurons.,ASN neuro,11.0
790,10972458,Vanderschuren,2001,Alterations in dopaminergic and glutamatergic transmission in the induction and expression of behavioral sensitization: a critical review of preclinical studies.,Psychopharmacology,11.0
288,24878822,Peterson,2016,Estradiol mediates dendritic spine plasticity in the nucleus accumbens core through activation of mGluR5.,Brain structure & function,11.0
287,26122294,Almey,2016,Estrogen receptors in the central nervous system and their implication for dopamine-dependent cognition in females.,Hormones and behavior,11.0
237,21799487,Golden,2011,A standardized protocol for repeated social defeat stress in mice.,Nature protocols,11.0
833,10321252,Koós,1999,Inhibitory control of neostriatal projection neurons by GABAergic interneurons.,Nature neuroscience,11.0
1581,17429407,Schlaepfer,2008,Deep brain stimulation to reward circuitry alleviates anhedonia in refractory major depression.,Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology,11.0
246,20831892,Basar,2011,Nucleus accumbens and impulsivity.,Progress in neurobiology,11.0
181,20147549,Gittis,2010,Distinct roles of GABAergic interneurons in the regulation of striatal output pathways.,The Journal of neuroscience : the official journal of the Society for Neuroscience,11.0
189,14586460,Gong,2003,A gene expression atlas of the central nervous system based on bacterial artificial chromosomes.,Nature,11.0
688,22000687,Grueter,2012,Integrating synaptic plasticity and striatal circuit function in addiction.,Current opinion in neurobiology,11.0
148,11717381,Di Ciano,2002,"Differential involvement of NMDA, AMPA/kainate, and dopamine receptors in the nucleus accumbens core in the acquisition and performance of pavlovian approach behavior.",The Journal of neuroscience : the official journal of the Society for Neuroscience,11.0
362,19389999,Tsai,2009,Phasic firing in dopaminergic neurons is sufficient for behavioral conditioning.,"Science (New York, N.Y.)",11.0
21,19846724,Roesch,2009,Ventral striatal neurons encode the value of the chosen action in rats deciding between differently delayed or sized rewards.,The Journal of neuroscience : the official journal of the Society for Neuroscience,11.0
1344,19717140,Knackstedt,2010,Ceftriaxone restores glutamate homeostasis and prevents relapse to cocaine seeking.,Biological psychiatry,11.0
355,21228905,Tepper,2011,Heterogeneity and diversity of striatal GABAergic interneurons.,Frontiers in neuroanatomy,11.0
2079,22681690,Watabe-Uchida,2012,Whole-brain mapping of direct inputs to midbrain dopamine neurons.,Neuron,11.0
1223,17988634,Renthal,2008,Histone deacetylase 5 epigenetically controls behavioral adaptations to chronic emotional stimuli.,Neuron,11.0
1822,15464139,Lu,2004,Incubation of cocaine craving after withdrawal: a review of preclinical data.,Neuropharmacology,11.0
2180,12778052,Baker,2003,Neuroadaptations in cystine-glutamate exchange underlie cocaine relapse.,Nature neuroscience,11.0
718,21713123,Ade,2011,An Improved BAC Transgenic Fluorescent Reporter Line for Sensitive and Specific Identification of Striatonigral Medium Spiny Neurons.,Frontiers in systems neuroscience,11.0
1239,23267100,Suska,2013,Selective presynaptic enhancement of the prefrontal cortex to nucleus accumbens pathway by cocaine.,Proceedings of the National Academy of Sciences of the United States of America,11.0
1804,17948030,Kauer,2007,Synaptic plasticity and addiction.,Nature reviews. Neuroscience,11.0
1384,17400299,Grace,2007,Regulation of firing of dopaminergic neurons and control of goal-directed behaviors.,Trends in neurosciences,10.0
37,9580643,Zhang,1998,Intake of high-fat food is selectively enhanced by mu opioid receptor stimulation within the nucleus accumbens.,The Journal of pharmacology and experimental therapeutics,10.0
